State,ASSIGN,BOOLF,BOOLV,CALCULATE,CREATE,DIVISION,ELSE,FLOAT,FROM,GREATER_THAN,IDENTIFIER,IF,IN,INCREMENT,INT,IN_LV,IN_OP,IS,LESS_THAN,MINUS,MULTI,NOM,OUT_LV,OUT_OP,PAPER,PLUS,POSITION,RETURN,SEPARATOR,SQRT,STRING,STRING_LITERAL,THEN,TO,WHILE,$,accion_simple,asignacion,asignacion_simple,bloque_en_celda,condicion_while,crear_lienzo,expresion,expresion_aritmetica,instruccion,lista_acciones,logica_bloque,op_aritmetico,op_relacional,programa,programa',sentencia_calculate,sentencia_from,sentencia_if,sentencia_return,sentencia_sqrt,sentencia_while,tipo,valor,valor_simple
0,,,,,s3,,,,,,,,,,,,,,,,,,,,s6,,,,,,,,,,,,,4,,7,,1,,,2,,,,,5,,,,,,,,,,
1,,,,,r3,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,r1,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,r4,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,s3,,,,,,,,,,,,,,,,,,,,s6,,,,,,,,,,,acc,,4,,7,,1,,,9,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,r5,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,r2,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
